Junction,Direction,Speed (mph),Time,Day
2 to 4,Northbound,66,18:00,Tuesday
2 to 4,Southbound,70,18:00,Tuesday
4 to 5,Northbound,62,18:00,Tuesday
4 to 5,Southbound,70,18:00,Tuesday
5 to 6,Northbound,67,18:00,Tuesday
5 to 6,Southbound,68,18:00,Tuesday
6 to 6A,Northbound,68,18:00,Tuesday
6 to 6A,Southbound,70,18:00,Tuesday
6A to 7,Northbound,58,18:00,Tuesday
6A to 7,Southbound,63,18:00,Tuesday
7 to 8,Northbound,45,18:00,Tuesday
7 to 8,Southbound,53,18:00,Tuesday
8 to 9,Northbound,45,18:00,Tuesday
 8 to 9,Southbound,58,18:00,Tuesday
9 to 10,Northbound,17,18:00,Tuesday
9 to 10,Southbound,58,18:00,Tuesday
10 to 11,Northbound,25,18:00,Tuesday
10 to 11,Southbound,41,18:00,Tuesday
11 to 11A,Northbound,48,18:00,Tuesday
11 to 11A,Southbound,41,18:00,Tuesday
11A to 12,Northbound,51,18:00,Tuesday
11A to 12,Southbound,47,18:00,Tuesday
12 to 13,Northbound,52,18:00,Tuesday
12 to 13,Southbound,48,18:00,Tuesday
13 to14,Northbound,65,18:00,Tuesday
13 to14,Southbound,57,18:00,Tuesday
14 to 15,Northbound,65,18:00,Tuesday
14 to15,Southbound,66,18:00,Tuesday
15 to 15A,Northbound,69,18:00,Tuesday
15 to 15A,Southbound,62,18:00,Tuesday
15A to 16,Northbound,66,18:00,Tuesday
15A to 16,Southbound,60,18:00,Tuesday
16 to 17,Northbound,66,18:00,Tuesday
16 to 17,Southbound,63,18:00,Tuesday
17 to 18,Northbound,64,18:00,Tuesday
17 to 18,Southbound,65,18:00,Tuesday
18 to 19,Northbound,64,18:00,Tuesday
18 to 19,Southbound,63,18:00,Tuesday
19 to 20,Northbound,65,18:00,Tuesday
19 to 20,Southbound,63,18:00,Tuesday
20 to 21,Northbound,70,18:00,Tuesday
20 to 21,Southbound,69,18:00,Tuesday
21 to 21A,Northbound,58,18:00,Tuesday
21 to 21A,Southbound,52,18:00,Tuesday
21A to 22,Northbound,68,18:00,Tuesday
21A to 22,Southbound,67,18:00,Tuesday
22 to 23,Northbound,70,18:00,Tuesday
22 to 23,Southbound,62,18:00,Tuesday
23 to 23A,Northbound,67,18:00,Tuesday
23 to 23A,Southbound,70,18:00,Tuesday
23A to 24,Northbound,63,18:00,Tuesday
23A to 24,Southbound,60,18:00,Tuesday
24 to 24A,Northbound,65,18:00,Tuesday
24 to 24A,Southbound,64,18:00,Tuesday
24A to 25,Northbound,64,18:00,Tuesday
24A to 25,Southbound,68,18:00,Tuesday
25 to 26,Northbound,67,18:00,Tuesday
25 to 26,Southbound,70,18:00,Tuesday
26 to 27,Northbound,70,18:00,Tuesday
26 to 27,Southbound,70,18:00,Tuesday
27 to 28,Northbound,59,18:00,Tuesday
27 to 28,Southbound,64,18:00,Tuesday
28 to 29,Northbound,63,18:00,Tuesday
28 to 29,Southbound,65,18:00,Tuesday
29 to 29A,Northbound,56,18:00,Tuesday
29 to 29A,Southbound,64,18:00,Tuesday
29A to 30,Northbound,43,18:00,Tuesday
29A to 30,Southbound,56,18:00,Tuesday
30 to 31,Northbound,49,18:00,Tuesday
30 to 31,Southbound,49,18:00,Tuesday
31 to 32,Northbound,63,18:00,Tuesday
31 to 32,Southbound,45,18:00,Tuesday
32 to 33,Northbound,40,18:00,Tuesday
32 to 33,Southbound,46,18:00,Tuesday
33 to 34,Northbound,51,18:00,Tuesday
33 to 34,Southbound,44,18:00,Tuesday
34 to 35,Northbound,50,18:00,Tuesday
34 to 35,Southbound,49,18:00,Tuesday
35 to 35A,Northbound,61,18:00,Tuesday
35 to 35A,Southbound,51,18:00,Tuesday
35A to 36,Northbound,70,18:00,Tuesday
35A to 36,Southbound,64,18:00,Tuesday
36 to 37,Northbound,70,18:00,Tuesday
36 to 37,Southbound,67,18:00,Tuesday
37 to 38,Northbound,70,18:00,Tuesday
37 to 38,Southbound,70,18:00,Tuesday
38 to 39,Northbound,70,18:00,Tuesday
38 to 39,Southbound,68,18:00,Tuesday
39 to 40,Northbound,69,18:00,Tuesday
39 to 40,Southbound,61,18:00,Tuesday
40 to 41,Northbound,66,18:00,Tuesday
40 to 41,Southbound,63,18:00,Tuesday
41 to 42,Northbound,64,18:00,Tuesday
41 to 42,Southbound,64,18:00,Tuesday
42 to 43/44,Northbound,67,18:00,Tuesday
42 to 43/44,Southbound,66,18:00,Tuesday
43/44 to 45,Northbound,33,18:00,Tuesday
43/44 to 45,Southbound,64,18:00,Tuesday
45 to 46,Northbound,25,18:00,Tuesday
45 to 46,Southbound,56,18:00,Tuesday
46 to 47,Northbound,47,18:00,Tuesday
46 to 47,Southbound,40,18:00,Tuesday
47 to 48,Northbound,59,18:00,Tuesday
47 to 48,Southbound,28,18:00,Tuesday
1 to 2,Northbound,63,22:00,Tuesday
1 to 2,Southbound,63,22:00,Tuesday
2 to 4,Northbound,68,22:00,Tuesday
2 to 4,Southbound,68,22:00,Tuesday
4 to 5,Northbound,62,22:00,Tuesday
4 to 5,Southbound,70,22:00,Tuesday
5 to 6,Northbound,55,22:00,Tuesday
5 to 6,Southbound,69,22:00,Tuesday
6 to 6A,Northbound,56,22:00,Tuesday
6 to 6A,Southbound,58,22:00,Tuesday
6A to 7,Northbound,63,22:00,Tuesday
6A to 7,Southbound,60,22:00,Tuesday
7 to 8,Northbound,58,22:00,Tuesday
7 to 8,Southbound,59,22:00,Tuesday
8 to 9,Northbound,59,22:00,Tuesday
 8 to 9,Southbound,65,22:00,Tuesday
9 to 10,Northbound,61,22:00,Tuesday
9 to 10,Southbound,66,22:00,Tuesday
10 to 11,Northbound,49,22:00,Tuesday
10 to 11,Southbound,52,22:00,Tuesday
11 to 11A,Northbound,50,22:00,Tuesday
11 to 11A,Southbound,49,22:00,Tuesday
11A to 12,Northbound,50,22:00,Tuesday
11A to 12,Southbound,49,22:00,Tuesday
12 to 13,Northbound,49,22:00,Tuesday
12 to 13,Southbound,49,22:00,Tuesday
13 to14,Northbound,58,22:00,Tuesday
13 to14,Southbound,62,22:00,Tuesday
14 to 15,Northbound,63,22:00,Tuesday
14 to15,Southbound,66,22:00,Tuesday
15 to 15A,Northbound,68,22:00,Tuesday
15 to 15A,Southbound,47,22:00,Tuesday
15A to 16,Northbound,68,22:00,Tuesday
15A to 16,Southbound,58,22:00,Tuesday
16 to 17,Northbound,63,22:00,Tuesday
16 to 17,Southbound,45,22:00,Tuesday
17 to 18,Northbound,51,22:00,Tuesday
17 to 18,Southbound,47,22:00,Tuesday
18 to 19,Northbound,66,22:00,Tuesday
18 to 19,Southbound,56,22:00,Tuesday
19 to 20,Northbound,70,22:00,Tuesday
19 to 20,Southbound,58,22:00,Tuesday
20 to 21,Northbound,63,22:00,Tuesday
20 to 21,Southbound,57,22:00,Tuesday
21 to 21A,Northbound,52,22:00,Tuesday
21 to 21A,Southbound,63,22:00,Tuesday
21A to 22,Northbound,61,22:00,Tuesday
21A to 22,Southbound,63,22:00,Tuesday
22 to 23,Northbound,70,22:00,Tuesday
22 to 23,Southbound,53,22:00,Tuesday
23 to 23A,Northbound,68,22:00,Tuesday
23 to 23A,Southbound,55,22:00,Tuesday
23A to 24,Northbound,66,22:00,Tuesday
23A to 24,Southbound,49,22:00,Tuesday
24 to 24A,Northbound,58,22:00,Tuesday
24 to 24A,Southbound,56,22:00,Tuesday
24A to 25,Northbound,43,22:00,Tuesday
24A to 25,Southbound,63,22:00,Tuesday
25 to 26,Northbound,66,22:00,Tuesday
25 to 26,Southbound,69,22:00,Tuesday
26 to 27,Northbound,66,22:00,Tuesday
26 to 27,Southbound,70,22:00,Tuesday
27 to 28,Northbound,65,22:00,Tuesday
27 to 28,Southbound,67,22:00,Tuesday
28 to 29,Northbound,68,22:00,Tuesday
28 to 29,Southbound,59,22:00,Tuesday
29 to 29A,Northbound,48,22:00,Tuesday
29 to 29A,Southbound,56,22:00,Tuesday
29A to 30,Northbound,47,22:00,Tuesday
29A to 30,Southbound,45,22:00,Tuesday
30 to 31,Northbound,51,22:00,Tuesday
30 to 31,Southbound,46,22:00,Tuesday
31 to 32,Northbound,58,22:00,Tuesday
31 to 32,Southbound,55,22:00,Tuesday
32 to 33,Northbound,52,22:00,Tuesday
32 to 33,Southbound,53,22:00,Tuesday
33 to 34,Northbound,50,22:00,Tuesday
33 to 34,Southbound,48,22:00,Tuesday
34 to 35,Northbound,49,22:00,Tuesday
34 to 35,Southbound,49,22:00,Tuesday
35 to 35A,Northbound,57,22:00,Tuesday
35 to 35A,Southbound,51,22:00,Tuesday
35A to 36,Northbound,68,22:00,Tuesday
35A to 36,Southbound,68,22:00,Tuesday
36 to 37,Northbound,66,22:00,Tuesday
36 to 37,Southbound,69,22:00,Tuesday
37 to 38,Northbound,67,22:00,Tuesday
37 to 38,Southbound,61,22:00,Tuesday
38 to 39,Northbound,67,22:00,Tuesday
38 to 39,Southbound,55,22:00,Tuesday
39 to 40,Northbound,60,22:00,Tuesday
39 to 40,Southbound,55,22:00,Tuesday
40 to 41,Northbound,47,22:00,Tuesday
40 to 41,Southbound,55,22:00,Tuesday
41 to 42,Northbound,53,22:00,Tuesday
41 to 42,Southbound,56,22:00,Tuesday
42 to 43/44,Northbound,60,22:00,Tuesday
42 to 43/44,Southbound,56,22:00,Tuesday
43/44 to 45,Northbound,63,22:00,Tuesday
43/44 to 45,Southbound,56,22:00,Tuesday
45 to 46,Northbound,51,22:00,Tuesday
45 to 46,Southbound,65,22:00,Tuesday
46 to 47,Northbound,49,22:00,Tuesday
46 to 47,Southbound,50,22:00,Tuesday
47 to 48,Northbound,57,22:00,Tuesday
47 to 48,Southbound,51,22:00,Tuesday
1 to 2,Northbound,66,08:00,Wednesday
1 to 2,Southbound,45,08:00,Wednesday
2 to 4,Northbound,70,08:00,Wednesday
2 to 4,Southbound,70,08:00,Wednesday
4 to 5,Northbound,70,08:00,Wednesday
4 to 5,Southbound,66,08:00,Wednesday
5 to 6,Northbound,66,08:00,Wednesday
5 to 6,Southbound,64,08:00,Wednesday
6 to 6A,Northbound,70,08:00,Wednesday
6 to 6A,Southbound,70,08:00,Wednesday
6A to 7,Northbound,61,08:00,Wednesday
6A to 7,Southbound,59,08:00,Wednesday
7 to 8,Northbound,51,08:00,Wednesday
7 to 8,Southbound,57,08:00,Wednesday
8 to 9,Northbound,60,08:00,Wednesday
 8 to 9,Southbound,56,08:00,Wednesday
9 to 10,Northbound,57,08:00,Wednesday
9 to 10,Southbound,58,08:00,Wednesday
10 to 11,Northbound,53,08:00,Wednesday
10 to 11,Southbound,40,08:00,Wednesday
11 to 11A,Northbound,52,08:00,Wednesday
11 to 11A,Southbound,25,08:00,Wednesday
11A to 12,Northbound,51,08:00,Wednesday
11A to 12,Southbound,34,08:00,Wednesday
12 to 13,Northbound,51,08:00,Wednesday
12 to 13,Southbound,53,08:00,Wednesday
13 to14,Northbound,61,08:00,Wednesday
13 to14,Southbound,60,08:00,Wednesday
14 to 15,Northbound,66,08:00,Wednesday
14 to15,Southbound,61,08:00,Wednesday
15 to 15A,Northbound,66,08:00,Wednesday
15 to 15A,Southbound,61,08:00,Wednesday
15A to 16,Northbound,69,08:00,Wednesday
15A to 16,Southbound,63,08:00,Wednesday
16 to 17,Northbound,68,08:00,Wednesday
16 to 17,Southbound,65,08:00,Wednesday
17 to 18,Northbound,67,08:00,Wednesday
17 to 18,Southbound,68,08:00,Wednesday
18 to 19,Northbound,62,08:00,Wednesday
18 to 19,Southbound,69,08:00,Wednesday
19 to 20,Northbound,66,08:00,Wednesday
19 to 20,Southbound,70,08:00,Wednesday
20 to 21,Northbound,69,08:00,Wednesday
20 to 21,Southbound,68,08:00,Wednesday
21 to 21A,Northbound,60,08:00,Wednesday
21 to 21A,Southbound,31,08:00,Wednesday
21A to 22,Northbound,67,08:00,Wednesday
21A to 22,Southbound,42,08:00,Wednesday
22 to 23,Northbound,68,08:00,Wednesday
22 to 23,Southbound,63,08:00,Wednesday
23 to 23A,Northbound,63,08:00,Wednesday
23 to 23A,Southbound,63,08:00,Wednesday
23A to 24,Northbound,58,08:00,Wednesday
23A to 24,Southbound,61,08:00,Wednesday
24 to 24A,Northbound,59,08:00,Wednesday
24 to 24A,Southbound,62,08:00,Wednesday
24A to 25,Northbound,52,08:00,Wednesday
24A to 25,Southbound,62,08:00,Wednesday
25 to 26,Northbound,65,08:00,Wednesday
25 to 26,Southbound,58,08:00,Wednesday
26 to 27,Northbound,68,08:00,Wednesday
26 to 27,Southbound,67,08:00,Wednesday
27 to 28,Northbound,60,08:00,Wednesday
27 to 28,Southbound,64,08:00,Wednesday
28 to 29,Northbound,55,08:00,Wednesday
28 to 29,Southbound,65,08:00,Wednesday
29 to 29A,Northbound,66,08:00,Wednesday
29 to 29A,Southbound,62,08:00,Wednesday
29A to 30,Northbound,50,08:00,Wednesday
29A to 30,Southbound,54,08:00,Wednesday
30 to 31,Northbound,50,08:00,Wednesday
30 to 31,Southbound,49,08:00,Wednesday
31 to 32,Northbound,56,08:00,Wednesday
31 to 32,Southbound,52,08:00,Wednesday
32 to 33,Northbound,33,08:00,Wednesday
32 to 33,Southbound,48,08:00,Wednesday
33 to 34,Northbound,49,08:00,Wednesday
33 to 34,Southbound,45,08:00,Wednesday
34 to 35,Northbound,49,08:00,Wednesday
34 to 35,Southbound,48,08:00,Wednesday
35 to 35A,Northbound,60,08:00,Wednesday
35 to 35A,Southbound,49,08:00,Wednesday
35A to 36,Northbound,62,08:00,Wednesday
35A to 36,Southbound,65,08:00,Wednesday
36 to 37,Northbound,61,08:00,Wednesday
36 to 37,Southbound,66,08:00,Wednesday
37 to 38,Northbound,69,08:00,Wednesday
37 to 38,Southbound,70,08:00,Wednesday
38 to 39,Northbound,66,08:00,Wednesday
38 to 39,Southbound,68,08:00,Wednesday
39 to 40,Northbound,61,08:00,Wednesday
39 to 40,Southbound,65,08:00,Wednesday
40 to 41,Northbound,55,08:00,Wednesday
40 to 41,Southbound,65,08:00,Wednesday
41 to 42,Northbound,62,08:00,Wednesday
41 to 42,Southbound,59,08:00,Wednesday
42 to 43/44,Northbound,58,08:00,Wednesday
42 to 43/44,Southbound,62,08:00,Wednesday
43/44 to 45,Northbound,18,08:00,Wednesday
43/44 to 45,Southbound,64,08:00,Wednesday
45 to 46,Northbound,30,08:00,Wednesday
45 to 46,Southbound,58,08:00,Wednesday
46 to 47,Northbound,48,08:00,Wednesday
46 to 47,Southbound,42,08:00,Wednesday
47 to 48,Northbound,53,08:00,Wednesday
47 to 48,Southbound,29,08:00,Wednesday
1 to 2,Northbound,68,13:00,Wednesday
1 to 2,Southbound,63,13:00,Wednesday
2 to 4,Northbound,70,13:00,Wednesday
2 to 4,Southbound,70,13:00,Wednesday
4 to 5,Northbound,69,13:00,Wednesday
4 to 5,Southbound,70,13:00,Wednesday
5 to 6,Northbound,66,13:00,Wednesday
5 to 6,Southbound,65,13:00,Wednesday
6 to 6A,Northbound,68,13:00,Wednesday
6 to 6A,Southbound,70,13:00,Wednesday
6A to 7,Northbound,29,13:00,Wednesday
6A to 7,Southbound,66,13:00,Wednesday
7 to 8,Northbound,44,13:00,Wednesday
7 to 8,Southbound,46,13:00,Wednesday
8 to 9,Northbound,39,13:00,Wednesday
 8 to 9,Southbound,11,13:00,Wednesday
9 to 10,Northbound,56,13:00,Wednesday
9 to 10,Southbound,11,13:00,Wednesday
10 to 11,Northbound,48,13:00,Wednesday
10 to 11,Southbound,50,13:00,Wednesday
11 to 11A,Northbound,48,13:00,Wednesday
11 to 11A,Southbound,50,13:00,Wednesday
11A to 12,Northbound,48,13:00,Wednesday
11A to 12,Southbound,51,13:00,Wednesday
12 to 13,Northbound,49,13:00,Wednesday
12 to 13,Southbound,50,13:00,Wednesday
13 to14,Northbound,62,13:00,Wednesday
13 to14,Southbound,58,13:00,Wednesday
14 to 15,Northbound,63,13:00,Wednesday
14 to15,Southbound,66,13:00,Wednesday
15 to 15A,Northbound,66,13:00,Wednesday
15 to 15A,Southbound,63,13:00,Wednesday
15A to 16,Northbound,62,13:00,Wednesday
15A to 16,Southbound,63,13:00,Wednesday
16 to 17,Northbound,63,13:00,Wednesday
16 to 17,Southbound,62,13:00,Wednesday
17 to 18,Northbound,65,13:00,Wednesday
17 to 18,Southbound,61,13:00,Wednesday
18 to 19,Northbound,66,13:00,Wednesday
18 to 19,Southbound,65,13:00,Wednesday
19 to 20,Northbound,65,13:00,Wednesday
19 to 20,Southbound,67,13:00,Wednesday
20 to 21,Northbound,63,13:00,Wednesday
20 to 21,Southbound,68,13:00,Wednesday
21 to 21A,Northbound,59,13:00,Wednesday
21 to 21A,Southbound,67,13:00,Wednesday
21A to 22,Northbound,62,13:00,Wednesday
21A to 22,Southbound,69,13:00,Wednesday
22 to 23,Northbound,66,13:00,Wednesday
22 to 23,Southbound,63,13:00,Wednesday
23 to 23A,Northbound,67,13:00,Wednesday
23 to 23A,Southbound,66,13:00,Wednesday
23A to 24,Northbound,66,13:00,Wednesday
23A to 24,Southbound,65,13:00,Wednesday
24 to 24A,Northbound,65,13:00,Wednesday
24 to 24A,Southbound,66,13:00,Wednesday
24A to 25,Northbound,68,13:00,Wednesday
24A to 25,Southbound,66,13:00,Wednesday
25 to 26,Northbound,67,13:00,Wednesday
25 to 26,Southbound,67,13:00,Wednesday
26 to 27,Northbound,67,13:00,Wednesday
26 to 27,Southbound,68,13:00,Wednesday
27 to 28,Northbound,62,13:00,Wednesday
27 to 28,Southbound,68,13:00,Wednesday
28 to 29,Northbound,64,13:00,Wednesday
28 to 29,Southbound,64,13:00,Wednesday
29 to 29A,Northbound,67,13:00,Wednesday
29 to 29A,Southbound,60,13:00,Wednesday
29A to 30,Northbound,50,13:00,Wednesday
29A to 30,Southbound,54,13:00,Wednesday
30 to 31,Northbound,50,13:00,Wednesday
30 to 31,Southbound,53,13:00,Wednesday
31 to 32,Northbound,56,13:00,Wednesday
31 to 32,Southbound,53,13:00,Wednesday
32 to 33,Northbound,47,13:00,Wednesday
32 to 33,Southbound,50,13:00,Wednesday
33 to 34,Northbound,44,13:00,Wednesday
33 to 34,Southbound,47,13:00,Wednesday
34 to 35,Northbound,39,13:00,Wednesday
34 to 35,Southbound,47,13:00,Wednesday
35 to 35A,Northbound,58,13:00,Wednesday
35 to 35A,Southbound,48,13:00,Wednesday
35A to 36,Northbound,67,13:00,Wednesday
35A to 36,Southbound,62,13:00,Wednesday
36 to 37,Northbound,68,13:00,Wednesday
36 to 37,Southbound,64,13:00,Wednesday
37 to 38,Northbound,67,13:00,Wednesday
37 to 38,Southbound,67,13:00,Wednesday
38 to 39,Northbound,65,13:00,Wednesday
38 to 39,Southbound,65,13:00,Wednesday
39 to 40,Northbound,52,13:00,Wednesday
39 to 40,Southbound,61,13:00,Wednesday
40 to 41,Northbound,49,13:00,Wednesday
40 to 41,Southbound,59,13:00,Wednesday
41 to 42,Northbound,57,13:00,Wednesday
41 to 42,Southbound,58,13:00,Wednesday
42 to 43/44,Northbound,60,13:00,Wednesday
42 to 43/44,Southbound,59,13:00,Wednesday
43/44 to 45,Northbound,60,13:00,Wednesday
43/44 to 45,Southbound,61,13:00,Wednesday
45 to 46,Northbound,56,13:00,Wednesday
45 to 46,Southbound,54,13:00,Wednesday
46 to 47,Northbound,54,13:00,Wednesday
46 to 47,Southbound,47,13:00,Wednesday
47 to 48,Northbound,54,13:00,Wednesday
47 to 48,Southbound,49,13:00,Wednesday
1 to 2,Northbound,62,18:00,Wednesday
1 to 2,Southbound,63,18:00,Wednesday
2 to 4,Northbound,68,18:00,Wednesday
2 to 4,Southbound,70,18:00,Wednesday
4 to 5,Northbound,70,18:00,Wednesday
4 to 5,Southbound,65,18:00,Wednesday
5 to 6,Northbound,65,18:00,Wednesday
5 to 6,Southbound,56,18:00,Wednesday
6 to 6A,Northbound,19,18:00,Wednesday
6 to 6A,Southbound,63,18:00,Wednesday
6A to 7,Northbound,33,18:00,Wednesday
6A to 7,Southbound,57,18:00,Wednesday
7 to 8,Northbound,53,18:00,Wednesday
7 to 8,Southbound,52,18:00,Wednesday
8 to 9,Northbound,33,18:00,Wednesday
 8 to 9,Southbound,58,18:00,Wednesday
9 to 10,Northbound,16,18:00,Wednesday
9 to 10,Southbound,59,18:00,Wednesday
10 to 11,Northbound,35,18:00,Wednesday
10 to 11,Southbound,40,18:00,Wednesday
11 to 11A,Northbound,46,18:00,Wednesday
11 to 11A,Southbound,22,18:00,Wednesday
11A to 12,Northbound,43,18:00,Wednesday
11A to 12,Southbound,32,18:00,Wednesday
12 to 13,Northbound,38,18:00,Wednesday
12 to 13,Southbound,48,18:00,Wednesday
13 to14,Northbound,66,18:00,Wednesday
13 to14,Southbound,58,18:00,Wednesday
14 to 15,Northbound,65,18:00,Wednesday
14 to15,Southbound,59,18:00,Wednesday
15 to 15A,Northbound,69,18:00,Wednesday
15 to 15A,Southbound,69,18:00,Wednesday
15A to 16,Northbound,70,18:00,Wednesday
15A to 16,Southbound,69,18:00,Wednesday
16 to 17,Northbound,68,18:00,Wednesday
16 to 17,Southbound,69,18:00,Wednesday
17 to 18,Northbound,68,18:00,Wednesday
17 to 18,Southbound,68,18:00,Wednesday
18 to 19,Northbound,69,18:00,Wednesday
18 to 19,Southbound,70,18:00,Wednesday
19 to 20,Northbound,70,18:00,Wednesday
19 to 20,Southbound,70,18:00,Wednesday
20 to 21,Northbound,70,18:00,Wednesday
20 to 21,Southbound,70,18:00,Wednesday
21 to 21A,Northbound,50,18:00,Wednesday
21 to 21A,Southbound,61,18:00,Wednesday
21A to 22,Northbound,64,18:00,Wednesday
21A to 22,Southbound,67,18:00,Wednesday
22 to 23,Northbound,69,18:00,Wednesday
22 to 23,Southbound,60,18:00,Wednesday
23 to 23A,Northbound,67,18:00,Wednesday
23 to 23A,Southbound,60,18:00,Wednesday
23A to 24,Northbound,64,18:00,Wednesday
23A to 24,Southbound,55,18:00,Wednesday
24 to 24A,Northbound,62,18:00,Wednesday
24 to 24A,Southbound,63,18:00,Wednesday
24A to 25,Northbound,64,18:00,Wednesday
24A to 25,Southbound,69,18:00,Wednesday
25 to 26,Northbound,69,18:00,Wednesday
25 to 26,Southbound,69,18:00,Wednesday
26 to 27,Northbound,67,18:00,Wednesday
26 to 27,Southbound,70,18:00,Wednesday
27 to 28,Northbound,68,18:00,Wednesday
27 to 28,Southbound,67,18:00,Wednesday
28 to 29,Northbound,36,18:00,Wednesday
28 to 29,Southbound,67,18:00,Wednesday
29 to 29A,Northbound,16,18:00,Wednesday
29 to 29A,Southbound,64,18:00,Wednesday
29A to 30,Northbound,32,18:00,Wednesday
29A to 30,Southbound,55,18:00,Wednesday
30 to 31,Northbound,48,18:00,Wednesday
30 to 31,Southbound,33,18:00,Wednesday
31 to 32,Northbound,59,18:00,Wednesday
31 to 32,Southbound,9,18:00,Wednesday
32 to 33,Northbound,48,18:00,Wednesday
32 to 33,Southbound,38,18:00,Wednesday
33 to 34,Northbound,49,18:00,Wednesday
33 to 34,Southbound,46,18:00,Wednesday
34 to 35,Northbound,48,18:00,Wednesday
34 to 35,Southbound,48,18:00,Wednesday
35 to 35A,Northbound,62,18:00,Wednesday
35 to 35A,Southbound,49,18:00,Wednesday
35A to 36,Northbound,70,18:00,Wednesday
35A to 36,Southbound,64,18:00,Wednesday
36 to 37,Northbound,70,18:00,Wednesday
36 to 37,Southbound,64,18:00,Wednesday
37 to 38,Northbound,70,18:00,Wednesday
37 to 38,Southbound,64,18:00,Wednesday
38 to 39,Northbound,70,18:00,Wednesday
38 to 39,Southbound,62,18:00,Wednesday
39 to 40,Northbound,70,18:00,Wednesday
39 to 40,Southbound,59,18:00,Wednesday
40 to 41,Northbound,69,18:00,Wednesday
40 to 41,Southbound,45,18:00,Wednesday
41 to 42,Northbound,67,18:00,Wednesday
41 to 42,Southbound,16,18:00,Wednesday
42 to 43/44,Northbound,60,18:00,Wednesday
42 to 43/44,Southbound,30,18:00,Wednesday
43/44 to 45,Northbound,14,18:00,Wednesday
43/44 to 45,Southbound,46,18:00,Wednesday
45 to 46,Northbound,23,18:00,Wednesday
45 to 46,Southbound,57,18:00,Wednesday
46 to 47,Northbound,48,18:00,Wednesday
46 to 47,Southbound,47,18:00,Wednesday
47 to 48,Northbound,56,18:00,Wednesday
47 to 48,Southbound,49,18:00,Wednesday
1 to 2,Northbound,59,22:00,Wednesday
1 to 2,Southbound,,22:00,Wednesday
2 to 4,Northbound,59,22:00,Wednesday
2 to 4,Southbound,,22:00,Wednesday
4 to 5,Northbound,63,22:00,Wednesday
4 to 5,Southbound,65,22:00,Wednesday
5 to 6,Northbound,65,22:00,Wednesday
5 to 6,Southbound,68,22:00,Wednesday
6 to 6A,Northbound,64,22:00,Wednesday
6 to 6A,Southbound,70,22:00,Wednesday
6A to 7,Northbound,63,22:00,Wednesday
6A to 7,Southbound,58,22:00,Wednesday
7 to 8,Northbound,59,22:00,Wednesday
7 to 8,Southbound,56,22:00,Wednesday
8 to 9,Northbound,60,22:00,Wednesday
 8 to 9,Southbound,63,22:00,Wednesday
9 to 10,Northbound,58,22:00,Wednesday
9 to 10,Southbound,63,22:00,Wednesday
10 to 11,Northbound,48,22:00,Wednesday
10 to 11,Southbound,49,22:00,Wednesday
11 to 11A,Northbound,48,22:00,Wednesday
11 to 11A,Southbound,49,22:00,Wednesday
11A to 12,Northbound,48,22:00,Wednesday
11A to 12,Southbound,48,22:00,Wednesday
12 to 13,Northbound,49,22:00,Wednesday
12 to 13,Southbound,48,22:00,Wednesday
13 to14,Northbound,65,22:00,Wednesday
13 to14,Southbound,59,22:00,Wednesday
14 to 15,Northbound,55,22:00,Wednesday
14 to15,Southbound,66,22:00,Wednesday
15 to 15A,Northbound,40,22:00,Wednesday
15 to 15A,Southbound,62,22:00,Wednesday
15A to 16,Northbound,66,22:00,Wednesday
15A to 16,Southbound,61,22:00,Wednesday
16 to 17,Northbound,57,22:00,Wednesday
16 to 17,Southbound,50,22:00,Wednesday
17 to 18,Northbound,42,22:00,Wednesday
17 to 18,Southbound,35,22:00,Wednesday
18 to 19,Northbound,62,22:00,Wednesday
18 to 19,Southbound,60,22:00,Wednesday
19 to 20,Northbound,65,22:00,Wednesday
19 to 20,Southbound,50,22:00,Wednesday
20 to 21,Northbound,56,22:00,Wednesday
20 to 21,Southbound,57,22:00,Wednesday
21 to 21A,Northbound,53,22:00,Wednesday
21 to 21A,Southbound,57,22:00,Wednesday
21A to 22,Northbound,65,22:00,Wednesday
21A to 22,Southbound,62,22:00,Wednesday
22 to 23,Northbound,66,22:00,Wednesday
22 to 23,Southbound,63,22:00,Wednesday
23 to 23A,Northbound,69,22:00,Wednesday
23 to 23A,Southbound,66,22:00,Wednesday
23A to 24,Northbound,60,22:00,Wednesday
23A to 24,Southbound,54,22:00,Wednesday
24 to 24A,Northbound,58,22:00,Wednesday
24 to 24A,Southbound,56,22:00,Wednesday
24A to 25,Northbound,68,22:00,Wednesday
24A to 25,Southbound,59,22:00,Wednesday
25 to 26,Northbound,67,22:00,Wednesday
25 to 26,Southbound,63,22:00,Wednesday
26 to 27,Northbound,65,22:00,Wednesday
26 to 27,Southbound,70,22:00,Wednesday
27 to 28,Northbound,68,22:00,Wednesday
27 to 28,Southbound,66,22:00,Wednesday
28 to 29,Northbound,53,22:00,Wednesday
28 to 29,Southbound,58,22:00,Wednesday
29 to 29A,Northbound,44,22:00,Wednesday
29 to 29A,Southbound,58,22:00,Wednesday
29A to 30,Northbound,26,22:00,Wednesday
29A to 30,Southbound,48,22:00,Wednesday
30 to 31,Northbound,50,22:00,Wednesday
30 to 31,Southbound,38,22:00,Wednesday
31 to 32,Northbound,61,22:00,Wednesday
31 to 32,Southbound,51,22:00,Wednesday
